Order ID,Order Date,Ship Mode,Segment,Customer Name,Region,State,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1052,2024-09-15,Standard Class,Corporate,Paul Moore,Central,Ohio,Loganmouth,Technology,Keyboard,1667.89,7,0.2,163.74
ORD-1053,2025-10-29,Standard Class,Consumer,Laura Tanner,West,Oregon,South Christinaview,Office Supplies,Paper,4999.54,6,0.1,728.24
ORD-1054,2024-08-11,Same Day,Home Office,Laurie Warren,East,New York,Carloshaven,Technology,Tablet,804.29,3,0.3,44.92
ORD-1055,2024-01-27,First Class,Home Office,Justin Walker,South,Florida,Lake Curtisport,Technology,Tablet,3055.88,2,0.1,808.87
ORD-1056,2025-12-01,Standard Class,Home Office,Elizabeth Jackson,Central,Ohio,New Tracytown,Office Supplies,Pen,426.18,4,0.0,95.59
ORD-1057,2025-03-06,Same Day,Consumer,Emily Carroll,West,Washington,Thompsonfurt,Office Supplies,Stapler,3324.53,2,0.4,428.36
ORD-1058,2024-10-03,Same Day,Corporate,Brian Murphy,Central,Ohio,Philipstad,Office Supplies,Stapler,3551.18,7,0.1,552.28
ORD-1059,2025-04-20,Same Day,Corporate,Rebecca Mitchell,Central,Michigan,Williamfurt,Office Supplies,Printer Ink,1645.41,4,0.0,197.01
ORD-1060,2025-12-19,First Class,Home Office,Daniel Brown PhD,West,Washington,Port James,Furniture,Desk,2463.37,6,0.2,-26.0
ORD-1061,2025-05-02,Same Day,Corporate,Martin Sosa,West,Oregon,West Monicahaven,Technology,Laptop,1244.71,7,0.3,106.47
ORD-1062,2025-07-20,First Class,Corporate,Benjamin Jackson,West,California,Burnsshire,Furniture,Desk,2051.79,4,0.2,270.24
ORD-1063,2024-05-02,Second Class,Consumer,Lisa Crawford,South,Florida,South James,Office Supplies,Stapler,1391.04,5,0.1,67.62
ORD-1064,2024-07-17,First Class,Consumer,Lawrence Kelly,East,Pennsylvania,Mejiamouth,Furniture,Table,3636.7,9,0.4,60.45
ORD-1065,2024-10-26,Second Class,Home Office,Rachel Mitchell,South,Texas,East Kimberlystad,Furniture,Chair,3554.69,3,0.2,52.74
ORD-1066,2024-09-15,Same Day,Consumer,Scott Moore,Central,Illinois,New Deborah,Technology,Tablet,1457.48,8,0.3,-143.73
ORD-1067,2024-11-07,Standard Class,Consumer,Brenda Whitney,West,Washington,Joneston,Furniture,Chair,2906.25,1,0.1,97.44
ORD-1068,2025-03-29,First Class,Home Office,Jared Taylor,West,Oregon,Taylormouth,Furniture,Bookshelf,3000.83,10,0.1,603.47
ORD-1069,2024-03-24,Second Class,Consumer,Kiara Dorsey,Central,Ohio,West Lisafurt,Office Supplies,Notebook,348.14,2,0.1,59.36
ORD-1070,2024-08-25,First Class,Home Office,Keith Guzman,East,Pennsylvania,Shawfort,Technology,Phone,63.24,8,0.5,0.7
ORD-1071,2024-07-21,Same Day,Consumer,Melissa West,South,Georgia,Lake Kathy,Furniture,Chair,3452.56,5,0.5,-496.22
ORD-1072,2025-08-05,First Class,Corporate,Joshua Garcia,East,Pennsylvania,West Evelynfurt,Technology,Monitor,4141.82,2,0.0,378.9
ORD-1073,2025-09-04,Standard Class,Corporate,Debra Palmer,West,Washington,New Mark,Office Supplies,Printer Ink,3513.68,5,0.4,-0.23
ORD-1074,2025-11-19,First Class,Home Office,Joshua Pitts,South,Georgia,North Sarah,Furniture,Chair,502.07,10,0.4,-16.17
ORD-1075,2025-05-18,Standard Class,Corporate,Kelly Gray,West,California,East Aliciamouth,Furniture,Bookshelf,3274.97,5,0.1,828.84
ORD-1076,2025-11-09,Same Day,Home Office,Summer Mcclure,South,Florida,New Aliciaview,Furniture,Table,3367.16,3,0.2,179.99
ORD-1077,2024-01-02,Same Day,Corporate,Michael Evans,West,Washington,Perryton,Technology,Monitor,1299.37,2,0.3,75.03
ORD-1078,2024-09-30,Second Class,Corporate,Candace Dixon,West,California,West Belinda,Office Supplies,Printer Ink,3132.04,8,0.5,141.03
ORD-1079,2024-01-15,Same Day,Consumer,Kristi Arnold,Central,Michigan,Robinsonbury,Furniture,Chair,192.9,10,0.1,36.42
ORD-1080,2025-12-23,First Class,Corporate,Christian Anderson,East,New York,Brownborough,Furniture,Chair,3256.16,3,0.3,555.59
ORD-1081,2024-05-19,Standard Class,Corporate,Marcus Guerrero,Central,Ohio,North Linda,Technology,Keyboard,2778.76,7,0.1,639.04
ORD-1082,2025-11-06,Same Day,Consumer,Sean Oliver,Central,Ohio,Brownburgh,Office Supplies,Printer Ink,4111.72,5,0.5,-622.69
ORD-1083,2024-07-12,Second Class,Home Office,Ryan Ross,Central,Michigan,Ericport,Furniture,Table,1695.58,9,0.3,77.85
ORD-1084,2025-11-10,Second Class,Corporate,Johnathan Gonzalez,Central,Illinois,West Reginald,Furniture,Chair,1624.97,8,0.5,103.98
ORD-1085,2024-01-16,Second Class,Corporate,Brad Tate,West,California,Garciashire,Office Supplies,Notebook,1693.37,2,0.3,-252.23
ORD-1086,2025-11-21,Same Day,Corporate,Ryan Bonilla,East,New York,Lake Jack,Furniture,Table,1725.88,7,0.5,-221.76
ORD-1087,2024-04-10,Standard Class,Corporate,Daniel Peterson,Central,Michigan,New Destinyport,Technology,Tablet,388.68,5,0.1,74.1
ORD-1088,2024-09-07,Same Day,Home Office,Bonnie Ochoa,East,Pennsylvania,New Carrieport,Furniture,Chair,277.66,1,0.2,13.31
ORD-1089,2025-08-20,Second Class,Consumer,Bradley Olson,East,New York,Nathanview,Technology,Laptop,3066.98,7,0.4,65.46
ORD-1090,2024-06-10,Standard Class,Corporate,Sherri Brown,Central,Michigan,South Juliestad,Furniture,Cabinet,1313.87,1,0.3,122.63
ORD-1091,2025-05-09,Standard Class,Consumer,Carrie Serrano,South,Georgia,Brownmouth,Furniture,Cabinet,3467.05,8,0.2,47.29
ORD-1092,2024-10-08,Standard Class,Home Office,Ashley Cruz,Central,Michigan,Courtneyside,Furniture,Bookshelf,1514.57,5,0.0,446.02
ORD-1093,2025-10-13,Second Class,Home Office,Caitlin Fischer,West,Oregon,Jonesfurt,Office Supplies,Stapler,4172.55,5,0.1,670.22
ORD-1094,2025-01-08,Second Class,Consumer,Casey Brooks,South,Georgia,Lake Lindseyburgh,Office Supplies,Pen,3159.83,1,0.2,641.92
ORD-1095,2025-05-28,First Class,Consumer,Anne Kelley,South,Florida,East Brucefort,Office Supplies,Stapler,919.42,3,0.4,93.15
ORD-1096,2025-11-23,Same Day,Home Office,Jennifer Adams,South,Florida,Scotthaven,Furniture,Table,4030.95,8,0.0,343.39
ORD-1097,2024-09-25,Same Day,Home Office,Samuel Johnson,South,Texas,Richardstad,Furniture,Chair,1359.07,2,0.3,-71.59
ORD-1098,2025-10-25,Standard Class,Home Office,William Lee,South,Texas,New Renee,Office Supplies,Pen,2383.81,10,0.4,-225.07
ORD-1099,2024-04-09,Second Class,Home Office,Judy Greene,Central,Michigan,Alexandraport,Furniture,Cabinet,627.55,1,0.0,79.13
ORD-1100,2025-02-28,Standard Class,Corporate,Stephen Brown,East,Massachusetts,West Christopherton,Furniture,Table,3368.91,9,0.3,20.37
ORD-1101,2025-12-03,First Class,Home Office,Steve Hall,Central,Ohio,Paulberg,Technology,Monitor,1125.48,8,0.1,267.75
ORD-1102,2025-10-16,Standard Class,Consumer,Peter Ortiz,South,Texas,West Loriview,Furniture,Table,989.55,2,0.3,-25.0
ORD-1103,2024-08-26,First Class,Consumer,Devon Villa,South,Texas,Williamhaven,Technology,Tablet,1065.77,9,0.1,136.22
ORD-1104,2024-01-16,First Class,Consumer,Carolyn Johnson,West,Washington,Lake Jason,Technology,Phone,2724.07,3,0.0,586.4
ORD-1105,2025-04-04,First Class,Home Office,Charles Lang,South,Texas,Lake Justin,Technology,Monitor,309.38,7,0.4,-5.21
ORD-1106,2025-06-17,First Class,Corporate,Cory Lam,West,Washington,Port Howard,Office Supplies,Pen,4729.81,1,0.5,-540.56
ORD-1107,2024-03-23,First Class,Home Office,David Padilla,West,California,Brianland,Furniture,Cabinet,2160.05,2,0.3,190.64
ORD-1108,2025-09-03,First Class,Corporate,Maria Blake,East,New York,Josemouth,Technology,Monitor,3140.37,10,0.4,177.81
ORD-1109,2024-08-21,Same Day,Corporate,Johnny Rhodes,Central,Illinois,Williamstown,Office Supplies,Paper,4271.32,9,0.5,159.54
ORD-1110,2025-12-04,Same Day,Consumer,Michelle Rice,Central,Ohio,New Kendrashire,Furniture,Chair,1597.11,6,0.5,-434.98
ORD-1111,2025-07-29,First Class,Home Office,Lisa Davis,West,California,Joelfort,Technology,Keyboard,527.99,6,0.1,70.7
ORD-1112,2025-08-14,Second Class,Consumer,Travis Jennings,West,Washington,Shawnfort,Furniture,Cabinet,4347.06,1,0.2,512.54
ORD-1113,2025-03-15,Standard Class,Home Office,Jeremiah Guerrero,Central,Illinois,West Margaretland,Technology,Monitor,4234.6,6,0.0,1019.06
ORD-1114,2024-05-26,Same Day,Consumer,Matthew Rodriguez,South,Texas,North Darrylview,Technology,Monitor,3528.36,5,0.2,268.11
ORD-1115,2024-06-10,First Class,Corporate,Melissa Davis,East,Pennsylvania,Sharptown,Office Supplies,Paper,504.2,9,0.1,48.82
ORD-1116,2024-03-24,First Class,Corporate,Justin Fuller,South,Georgia,Lake Andrewmouth,Office Supplies,Paper,4422.54,3,0.1,953.6
ORD-1117,2024-10-17,Same Day,Home Office,Kristen Washington,Central,Ohio,South Heidiborough,Office Supplies,Stapler,2100.21,4,0.4,-219.94
ORD-1118,2024-05-20,First Class,Corporate,Julia Moses,South,Texas,West Marie,Technology,Keyboard,4923.01,1,0.0,497.74
ORD-1119,2025-05-27,First Class,Consumer,Benjamin Parrish,South,Texas,West Scottchester,Technology,Keyboard,3747.72,3,0.1,310.43
ORD-1120,2025-12-27,Same Day,Corporate,Daniel Bruce,Central,Michigan,East Dylan,Technology,Keyboard,142.77,2,0.2,12.15
ORD-1121,2024-03-31,Same Day,Consumer,Gregory Brooks,West,Washington,South Staceyfurt,Technology,Monitor,900.77,10,0.3,29.23
ORD-1122,2024-06-21,Standard Class,Home Office,Cheryl Moreno,East,Massachusetts,Chungborough,Office Supplies,Stapler,2643.61,7,0.2,449.05
ORD-1123,2024-05-31,Second Class,Consumer,Michelle Perry,West,Oregon,Gonzalesbury,Office Supplies,Pen,4534.32,6,0.2,424.28
ORD-1124,2025-04-20,Same Day,Home Office,Kyle Baker,East,Massachusetts,Alexanderburgh,Technology,Phone,3031.87,2,0.1,697.77
ORD-1125,2025-08-28,Standard Class,Corporate,Tammie Stephenson,South,Georgia,Lake Robert,Furniture,Desk,2226.83,8,0.3,10.04
ORD-1126,2024-04-02,Same Day,Corporate,James Lam,West,Washington,Katherineview,Furniture,Cabinet,236.16,6,0.2,-17.6
ORD-1127,2024-04-15,First Class,Home Office,Lisa Green,West,Washington,West Courtney,Office Supplies,Pen,1641.56,8,0.4,-11.71
ORD-1128,2025-01-07,First Class,Corporate,David Wade,West,Oregon,South Brittanyshire,Office Supplies,Pen,243.75,8,0.3,2.74
ORD-1129,2025-01-30,First Class,Corporate,Joshua Hubbard,Central,Ohio,North Valerie,Furniture,Bookshelf,309.21,6,0.0,40.95
ORD-1130,2025-02-05,Second Class,Home Office,Steven Campbell,East,Massachusetts,Floreston,Technology,Tablet,3334.88,6,0.2,560.62
ORD-1131,2025-12-02,Standard Class,Home Office,Edward Mercer,West,Washington,Catherineland,Office Supplies,Stapler,3235.29,6,0.1,478.15
ORD-1132,2024-07-15,Second Class,Consumer,Joseph Houston,Central,Michigan,Belindamouth,Furniture,Chair,1844.86,3,0.1,128.15
ORD-1133,2024-12-10,Second Class,Home Office,Ashley Aguirre,East,New York,Bensonborough,Furniture,Chair,2563.06,9,0.5,409.05
ORD-1134,2025-01-08,Second Class,Corporate,Chelsea Wright,Central,Illinois,Nicholasstad,Technology,Phone,4165.16,10,0.1,865.0
ORD-1135,2025-11-25,Same Day,Corporate,Ms. Heather Johnson,South,Georgia,Glennfurt,Furniture,Desk,2693.36,5,0.3,487.69
ORD-1136,2024-09-13,Standard Class,Home Office,Robert Valentine,South,Florida,North Dawnview,Office Supplies,Notebook,2122.37,3,0.1,471.19
ORD-1137,2024-10-06,Same Day,Home Office,Adam Smith,Central,Ohio,Elizabethbury,Office Supplies,Paper,3571.43,9,0.0,433.09
ORD-1138,2025-01-17,Second Class,Corporate,Lisa Hogan,East,Massachusetts,Jenniferfurt,Technology,Phone,4092.68,6,0.0,629.14
ORD-1139,2024-05-20,Standard Class,Corporate,Sarah Burns,West,Washington,Mccannstad,Technology,Laptop,1627.49,2,0.5,-203.31
ORD-1140,2024-06-02,Same Day,Consumer,Eddie Sherman,Central,Michigan,Andrewburgh,Technology,Keyboard,2270.58,1,0.0,124.32
ORD-1141,2024-04-23,Same Day,Home Office,Mallory Anthony,South,Texas,Davidbury,Furniture,Chair,286.36,7,0.5,3.25
ORD-1142,2024-09-03,Same Day,Consumer,Christine Thompson,West,Oregon,Port Timothy,Office Supplies,Notebook,1247.59,3,0.2,54.31
ORD-1143,2024-01-21,Same Day,Corporate,William Ware,West,Oregon,West Samantha,Furniture,Chair,4769.35,9,0.4,213.54
ORD-1144,2025-11-03,Standard Class,Home Office,Christopher Harding,West,Oregon,East Roberthaven,Furniture,Table,1305.57,1,0.2,216.4
ORD-1145,2025-10-08,Second Class,Consumer,Guy Norman,South,Texas,Lake Williammouth,Technology,Monitor,2752.77,3,0.5,-392.16
ORD-1146,2024-11-13,Same Day,Home Office,William Smith,West,Oregon,Warrenchester,Furniture,Chair,1502.54,1,0.1,349.36
ORD-1147,2025-01-11,Same Day,Corporate,Melissa Nelson,Central,Ohio,Marcburgh,Technology,Phone,1466.25,1,0.5,-6.39
ORD-1148,2024-03-25,Same Day,Consumer,Vanessa Weber,Central,Ohio,West Lisafurt,Furniture,Desk,2506.21,8,0.2,448.02
ORD-1149,2025-04-01,Same Day,Consumer,Heather Hernandez,Central,Michigan,Jesseshire,Technology,Tablet,1504.14,2,0.0,198.52
ORD-1150,2024-02-28,Standard Class,Home Office,Eric Humphrey,Central,Ohio,New Brenda,Furniture,Chair,3647.73,6,0.4,560.45
ORD-1151,2024-05-09,Standard Class,Consumer,Justin Davis,Central,Ohio,South Gloria,Office Supplies,Pen,4766.31,3,0.4,163.77
ORD-1152,2025-03-30,Standard Class,Home Office,Samuel Frye,South,Florida,Lake Richard,Furniture,Bookshelf,210.31,3,0.5,-10.26
ORD-1153,2024-07-09,Same Day,Home Office,Steven Young,East,Pennsylvania,Lake Rachelshire,Furniture,Cabinet,1606.21,5,0.1,431.39
ORD-1154,2025-05-17,Second Class,Consumer,Renee Williams,Central,Michigan,Brianachester,Technology,Monitor,3886.07,8,0.1,1017.98
ORD-1155,2024-11-23,First Class,Home Office,Curtis Hess,East,New York,Davidshire,Furniture,Desk,4498.46,8,0.0,1136.44
ORD-1156,2024-06-27,First Class,Home Office,Jake Riley,West,Oregon,Lake Latoya,Office Supplies,Printer Ink,4462.09,3,0.5,-368.9
ORD-1157,2025-04-23,Second Class,Home Office,Sabrina Robinson,East,New York,Mendezburgh,Technology,Phone,1221.84,8,0.0,171.33
ORD-1158,2025-08-11,Standard Class,Consumer,Cathy Lewis,West,California,Shannonfurt,Furniture,Cabinet,4998.0,8,0.4,-127.78
ORD-1159,2025-07-18,Second Class,Consumer,Bianca Thompson,South,Georgia,Schmidtville,Technology,Keyboard,2355.87,9,0.2,-135.23
ORD-1160,2024-08-18,First Class,Home Office,Mr. Robert Roberts DDS,Central,Michigan,Martineztown,Technology,Laptop,2614.61,5,0.1,37.67
ORD-1161,2025-06-30,Standard Class,Home Office,Kristin Ho,South,Texas,Lake William,Furniture,Desk,3193.53,9,0.2,15.82
ORD-1162,2025-07-31,Standard Class,Consumer,Barry Jefferson,East,Pennsylvania,Sanchezfurt,Office Supplies,Pen,897.44,10,0.5,66.6
ORD-1163,2025-05-24,First Class,Home Office,Patricia Mathews,West,California,West Bruce,Office Supplies,Notebook,1360.05,4,0.4,-107.73
ORD-1164,2025-05-10,Same Day,Consumer,Chelsea Dawson,South,Florida,East Jameston,Technology,Keyboard,1522.3,2,0.5,-254.08
ORD-1165,2025-02-12,Second Class,Corporate,Robert Russell,South,Georgia,Lake Kennethville,Technology,Monitor,4314.35,6,0.5,402.94
ORD-1166,2025-01-28,Same Day,Consumer,Jennifer Moore,West,Washington,Port Courtney,Technology,Keyboard,656.48,8,0.1,40.82
ORD-1167,2024-11-11,Same Day,Consumer,Nathaniel Carter,East,Massachusetts,Alexisside,Office Supplies,Printer Ink,989.68,3,0.3,153.37
ORD-1168,2025-05-21,Same Day,Corporate,Jeremiah Carroll MD,West,Washington,West Arthur,Office Supplies,Stapler,4835.1,4,0.4,222.87
ORD-1169,2025-08-06,Second Class,Corporate,Jeffery Wyatt,West,California,North Keith,Furniture,Desk,4418.16,6,0.3,41.44
ORD-1170,2025-09-17,Standard Class,Consumer,Nathan Flores,South,Texas,Dianafurt,Furniture,Bookshelf,2279.25,9,0.2,322.6
ORD-1171,2025-05-27,Standard Class,Consumer,Craig Reyes,West,Washington,East Kevin,Furniture,Table,2811.27,6,0.1,138.36
ORD-1172,2024-05-23,First Class,Home Office,Jill Santos,West,California,South Rogerville,Office Supplies,Printer Ink,4029.63,9,0.3,-538.07
ORD-1173,2025-06-29,Same Day,Home Office,Jason Norman,South,Texas,Port Jessicaside,Furniture,Bookshelf,3709.63,5,0.4,-536.77
ORD-1174,2025-12-05,Standard Class,Home Office,Stephanie Schroeder,South,Florida,Patriciamouth,Technology,Monitor,1689.64,2,0.3,-12.66
ORD-1175,2025-09-26,Same Day,Consumer,Angela Rangel,Central,Ohio,North Ryan,Office Supplies,Notebook,2909.29,1,0.4,-103.87
ORD-1176,2024-07-27,Same Day,Home Office,Latoya Jackson,East,New York,North Jeffreyside,Office Supplies,Paper,994.38,8,0.2,64.77
ORD-1177,2025-05-04,Same Day,Corporate,Brandon Stanley,Central,Michigan,Karishire,Office Supplies,Paper,3543.59,9,0.1,390.98
ORD-1178,2024-10-12,First Class,Consumer,Peter Johnson,East,Massachusetts,North Christopher,Office Supplies,Printer Ink,2754.05,5,0.4,-382.03
ORD-1179,2024-10-07,First Class,Consumer,Tammy Casey,South,Florida,Port Jesse,Office Supplies,Pen,3466.69,8,0.2,217.33
ORD-1180,2025-11-02,First Class,Home Office,Jennifer Cabrera,Central,Ohio,East Thomas,Furniture,Desk,1487.74,5,0.5,-457.4
ORD-1181,2025-08-23,Second Class,Consumer,Collin Fuller,Central,Illinois,Tinamouth,Technology,Tablet,1392.11,9,0.5,-20.69
ORD-1182,2024-04-12,Second Class,Consumer,Dawn Pugh,West,Oregon,Andrewside,Office Supplies,Pen,3207.83,1,0.0,491.84
ORD-1183,2024-04-01,Second Class,Home Office,Kim Zimmerman,East,Massachusetts,Port Katherineport,Office Supplies,Stapler,2413.37,4,0.2,30.85
ORD-1184,2024-10-23,Standard Class,Consumer,Matthew Williams,West,California,Natalietown,Furniture,Desk,4672.92,1,0.3,717.08
ORD-1185,2025-06-20,Same Day,Consumer,Tamara White,South,Georgia,Jonesborough,Office Supplies,Paper,4645.85,6,0.2,216.63
ORD-1186,2024-12-11,First Class,Home Office,Madeline Walters,Central,Ohio,Thomasstad,Technology,Laptop,1686.89,8,0.5,-70.08
ORD-1187,2024-07-08,Second Class,Corporate,Donald Moon,East,New York,Joanmouth,Office Supplies,Stapler,4143.6,9,0.2,-201.49
ORD-1188,2025-08-09,Standard Class,Corporate,Michael Pennington,South,Texas,West Joshua,Technology,Monitor,1948.69,8,0.2,413.66
ORD-1189,2025-12-21,First Class,Home Office,Richard Butler,South,Georgia,Thomasstad,Technology,Laptop,3355.54,8,0.2,-108.72
ORD-1190,2025-09-12,First Class,Corporate,Renee Evans,West,Oregon,Wagnerland,Furniture,Table,3092.4,4,0.1,378.04
ORD-1191,2025-01-05,Standard Class,Home Office,Veronica Black,Central,Michigan,New Michaelfort,Office Supplies,Pen,3821.21,10,0.0,693.08
ORD-1192,2025-03-28,Standard Class,Home Office,Debra Mitchell,West,California,Moraleschester,Office Supplies,Notebook,1050.68,9,0.1,20.87
ORD-1193,2025-06-09,Same Day,Corporate,Joseph Luna,East,Pennsylvania,North Jennifer,Office Supplies,Stapler,500.16,9,0.3,55.3
